1235 ANDEER, 9.300823 46.666011;9.52941 46.662046;9.525239 46.554137;9.297108 46.558094;9.300823 46.666011
1236 SAVOGNIN, 9.52941 46.662046;9.757961 46.657622;9.753334 46.549722;9.525239 46.554137;9.52941 46.662046
1237 ALBULAPASS, 9.757961 46.657622;9.986473 46.652739;9.98139 46.544849;9.753334 46.549722;9.757961 46.657622
1238 PIZ QUATTERVALS, 9.986473 46.652739;10.214942 46.647398;10.209402 46.539519;9.98139 46.544849;9.986473 46.652739
1239 SANTA MARIA, 10.214942 46.647398;10.443363 46.641598;10.437367 46.53373;10.209402 46.539519;10.214942 46.647398
2240 MUESTAIR, 10.443363 46.641598;10.671733 46.635339;10.66528 46.527484;10.437367 46.53373;10.443363 46.641598
1240 LES ROUSSES, 5.873523 46.562509;6.101721 46.56542;6.104382 46.457488;5.876639 46.454583;5.873523 46.562509
1241 MARCHAIRUZ, 6.101721 46.56542;6.329941 46.567873;6.332148 46.459936;6.104382 46.457488;6.101721 46.56542
1242 MORGES, 6.329941 46.567873;6.55818 46.569867;6.559933 46.461927;6.332148 46.459936;6.329941 46.567873
1243 LAUSANNE, 6.55818 46.569867;6.786434 46.571404;6.787733 46.463461;6.559933 46.461927;6.55818 46.569867
1244 CHATEL-SAINT-DENIS, 6.786434 46.571404;7.0147 46.572484;7.015543 46.464538;6.787733 46.463461;6.786434 46.571404
1245 CHATEAU-D'OEX, 7.0147 46.572484;7.242972 46.573105;7.243362 46.465158;7.015543 46.464538;7.0147 46.572484
1246 ZWEISIMMEN, 7.242972 46.573105;7.471248 46.573269;7.471183 46.465321;7.243362 46.465158;7.242972 46.573105
1247 ADELBODEN, 7.471248 46.573269;7.699523 46.572974;7.699004 46.465028;7.471183 46.465321;7.471248 46.573269
1248 MUERREN, 7.699523 46.572974;7.927794 46.572222;7.926821 46.464277;7.699004 46.465028;7.699523 46.572974
1249 FINSTERAARHORN, 7.927794 46.572222;8.156057 46.571012;8.154629 46.463069;7.926821 46.464277;7.927794 46.572222
1250 ULRICHEN, 8.156057 46.571012;8.384307 46.569344;8.382425 46.461405;8.154629 46.463069;8.156057 46.571012
1251 VAL BEDRETTO, 8.384307 46.569344;8.612541 46.567218;8.610205 46.459283;8.382425 46.461405;8.384307 46.569344
1252 AMBRI-PIOTTA, 8.612541 46.567218;8.840756 46.564635;8.837964 46.456705;8.610205 46.459283;8.612541 46.567218
1253 OLIVONE, 8.840756 46.564635;9.068946 46.561593;9.0657 46.45367;8.837964 46.456705;8.840756 46.564635
1254 HINTERRHEIN, 9.068946 46.561593;9.297108 46.558094;9.293408 46.450177;9.0657 46.45367;9.068946 46.561593
1255 SPLUEGENPASS, 9.297108 46.558094;9.525239 46.554137;9.521085 46.446228;9.293408 46.450177;9.297108 46.558094
1256 BIVIO, 9.525239 46.554137;9.753334 46.549722;9.748725 46.441822;9.521085 46.446228;9.525239 46.554137
1257 ST. MORITZ, 9.753334 46.549722;9.98139 46.544849;9.976326 46.436959;9.748725 46.441822;9.753334 46.549722
1258 LA STRETTA, 9.98139 46.544849;10.209402 46.539519;10.203884 46.431639;9.976326 46.436959;9.98139 46.544849
2260 TEIL MUESTAIR, 10.437367 46.53373;10.66528 46.527484;10.658854 46.419628;10.431395 46.425862;10.437367 46.53373
1260 COL DE LA FAUCILLE, 5.876639 46.454583;6.104382 46.457488;6.107033 46.349556;5.879742 46.346657;5.876639 46.454583
1261 NYON, 6.104382 46.457488;6.332148 46.459936;6.334346 46.351999;6.107033 46.349556;6.104382 46.457488
1262 THONON, 6.332148 46.459936;6.559933 46.461927;6.561678 46.353986;6.334346 46.351999;6.332148 46.459936
1263 EVIAN LES BAINS, 6.559933 46.461927;6.787733 46.463461;6.789026 46.355517;6.561678 46.353986;6.559933 46.461927
1264 MONTREUX, 6.787733 46.463461;7.015543 46.464538;7.016384 46.356592;6.789026 46.355517;6.787733 46.463461
1265 LES MOSSES, 7.015543 46.464538;7.243362 46.465158;7.24375 46.357211;7.016384 46.356592;7.015543 46.464538
1266 LENK, 7.243362 46.465158;7.471183 46.465321;7.471119 46.357374;7.24375 46.357211;7.243362 46.465158
1267 GEMMI, 7.471183 46.465321;7.699004 46.465028;7.698487 46.357081;7.471119 46.357374;7.471183 46.465321
1268 LOETSCHENTAL, 7.699004 46.465028;7.926821 46.464277;7.925851 46.356332;7.698487 46.357081;7.699004 46.465028
1269 ALETSCHGLETSCHER, 7.926821 46.464277;8.154629 46.463069;8.153207 46.355126;7.925851 46.356332;7.926821 46.464277
1270 BINNTAL, 8.154629 46.463069;8.382425 46.461405;8.38055 46.353465;8.153207 46.355126;8.154629 46.463069
1271 BASODINO, 8.382425 46.461405;8.610205 46.459283;8.607877 46.351348;8.38055 46.353465;8.382425 46.461405
1272 P. CAMPO TENCIA, 8.610205 46.459283;8.837964 46.456705;8.835184 46.348775;8.607877 46.351348;8.610205 46.459283
1273 BIASCA, 8.837964 46.456705;9.0657 46.45367;9.062468 46.345745;8.835184 46.348775;8.837964 46.456705
1274 MESOCCO, 9.0657 46.45367;9.293408 46.450177;9.289723 46.34226;9.062468 46.345745;9.0657 46.45367
1275 CAMPODOLCINO, 9.293408 46.450177;9.521085 46.446228;9.516947 46.338319;9.289723 46.34226;9.293408 46.450177
1276 VAL BREGAGLIA, 9.521085 46.446228;9.748725 46.441822;9.744135 46.333921;9.516947 46.338319;9.521085 46.446228
